prefecture,city,number,address,name,lat,long
埼玉県,さいたま市,01-01,西区三橋5丁目936番地2,青葉公園 北側フェンス,35.9067252,139.5931904
埼玉県,さいたま市,01-01,西区大字水判土388番地1,水判土公園チビッコ広場 北側,35.8995158,139.5923085
埼玉県,さいたま市,01-01,西区三橋5丁目938番地,三橋５丁目自治会館 西側ブロック塀,35.9068432,139.5928062
埼玉県,さいたま市,01-01,西区三橋5丁目1862番地,三橋５丁目東公園 入口,35.9046252,139.5951874
埼玉県,さいたま市,01-01,西区三橋5丁目2212番地1,三橋５丁目南公園 東側フェンス,35.9164367,139.587252
埼玉県,さいたま市,01-01,西区大字水判土62番地1,水判土交差点 北側市有地 （馬防柵）,35.8986149,139.5924733
埼玉県,さいたま市,01-01,西区大字佐知川299番地16,春光園うえみず 入口西側フェンス,35.9036519,139.587553
埼玉県,さいたま市,01-01,西区大字佐知川228番地118,佐知川原公園 東側フェンス,35.9056031,139.5882976
埼玉県,さいたま市,01-01,西区大字佐知川385番地19,佐知川原第３公園 北側フェンス,35.9056893,139.5866873
埼玉県,さいたま市,01-01,西区大字佐知川221番地1,市立大宮西小学校 南西角フェンス,35.9042243,139.5904372
埼玉県,さいたま市,01-01,西区大字佐知川1123番地5,市営植水住宅集会所 西側フェンス,35.9013855,139.5829662
埼玉県,さいたま市,01-01,西区大字佐知川1123番地5,市営植水住宅１号棟 南側フェンス,35.9013855,139.5829662
埼玉県,さいたま市,01-01,西区大字佐知川粕田44番地,佐知川公園 東側フェンス,35.9029686,139.5853012
埼玉県,さいたま市,01-01,西区プラザ46番18号,大宮プラザ自治会館入口フェンス（中央通り側）,35.9071221,139.5792292
埼玉県,さいたま市,01-01,西区プラザ339番25号,プラザ３号公園 西側フェンス,35.9075632,139.5782946
埼玉県,さいたま市,01-01,西区プラザ444番57号,プラザ１号公園 北側フェンス,35.9075632,139.5782946
埼玉県,さいたま市,01-01,西区プラザ754番28号,プラザ中央公園 北側フェンス,35.9075632,139.5782946
埼玉県,さいたま市,01-01,西区プラザ36番,愛徳幼稚園 西向側（水路側）フェンス,35.906045,139.5778966
埼玉県,さいたま市,01-01,西区プラザ754番28号,プラザ中央公園 南側フェンス,35.9075632,139.5782946
埼玉県,さいたま市,01-01,西区プラザ620番87号,プラザ２号公園 北側フェンス,35.9075632,139.5782946
埼玉県,さいたま市,01-01,西区大字佐知川1471番地1,金山墓地 北側ブロック塀,35.9029686,139.5853012
埼玉県,さいたま市,01-01,西区大字指扇325番地17,五味貝戸東公園 北側入口フェンス,35.9097317,139.5854987
埼玉県,さいたま市,01-01,西区大字指扇1185番地6,下戸緑地公園南側,35.9187889,139.5763839
埼玉県,さいたま市,01-01,西区大字指扇636番地2,井戸尻公園 東側フェンス,35.9087028,139.58004
埼玉県,さいたま市,01-01,西区大字指扇1078番地,県営大宮指扇団地 北西側水路フェンス,35.9122118,139.5794721
埼玉県,さいたま市,01-01,西区大字指扇291番地,指扇道下公園 西側フェンス,35.9090478,139.5856209
埼玉県,さいたま市,01-01,西区大字指扇1570番地13,古茂塚第二公園 南側フェンス,35.9154583,139.5823649
埼玉県,さいたま市,01-01,西区大字指扇104番地9,青葉西公園 東側フェンス,35.9073837,139.5887547
埼玉県,さいたま市,01-01,西区大字指扇331番地,五味貝戸自治会館 東側ブロック塀,35.9090566,139.5854256
埼玉県,さいたま市,01-01,西区西大宮1丁目49番地34,市立指扇小学校 西側正門横フェンス,35.9221842,139.5722706
埼玉県,さいたま市,01-01,西区大字指扇3363番地7,大西公園 南側フェンス（LM大宮指扇第2の北側）,35.9176883,139.5776099
埼玉県,さいたま市,01-01,西区大字指扇領別所109番地3,宮脇公園 西側フェンス,35.9222309,139.5683751
